status_code,error,page_rank_integer,page_rank_decimal,rank,domain,website
200,,5,4.91,222102,rightwingnews.com,rightwingnews.com
200,,5,4.89,319092,swishappeal.com,www.swishappeal.com
200,,5,5.11,85262,tsln.com,www.tsln.com
200,,4,4.48,1202524,1035kissfmboise.com,1035kissfmboise.com
200,,3,3.41,4792714,myradioplace.com,myradioplace.com
200,,3,2.77,13922606,wiov.com,www.wiov.com
200,,5,5.35,34577,montereyherald.com,www.montereyherald.com
200,,3,3.34,5305007,1360kktx.iheart.com,1360kktx.iheart.com
200,,2,1.51,71626336,obituaries.fayettetribune.com,obituaries.fayettetribune.com
200,,5,4.8,568004,mcknightsseniorliving.com,www.mcknightsseniorliving.com
200,,5,5.26,48384,krcrtv.com,krcrtv.com
200,,3,3.45,4535154,hsuoracle.com,hsuoracle.com
200,,5,4.84,484102,riponadvance.com,riponadvance.com
200,,6,5.88,8695,moddb.com,www.moddb.com
200,,5,4.87,447368,boothbayregister.com,www.boothbayregister.com
200,,5,5.21,58114,foxy99.com,foxy99.com
200,,6,5.65,14109,labusinessjournal.com,labusinessjournal.com
200,,5,4.82,522733,advantagenews.com,www.advantagenews.com
200,,5,5.15,74452,notus.org,www.notus.org
200,,4,4.01,1847153,outdoornews.com,www.outdoornews.com
200,,5,5.36,33284,wvmetronews.com,wvmetronews.com
200,,5,5.33,36965,commarts.com,www.commarts.com
200,,5,4.75,928923,starmometer.com,starmometer.com
200,,5,5.04,112546,godisageek.com,www.godisageek.com
200,,5,4.85,467976,journal.com.ph,journal.com.ph
200,,5,4.8,565045,johnstonsunrise.net,johnstonsunrise.net
200,,8,7.98,118,nasa.gov,www.nasa.gov
200,,5,5.29,43063,en.chessbase.com,en.chessbase.com
200,,5,4.84,479960,1063thebuzz.com,1063thebuzz.com
200,,6,5.53,19411,investmentnews.com,www.investmentnews.com
200,,4,3.56,4022791,wranglernews.com,www.wranglernews.com
200,,5,4.77,712601,roscommonherald.ie,www.roscommonherald.ie
200,,5,5.45,24569,bristolpost.co.uk,www.bristolpost.co.uk
200,,6,5.71,12295,inquisitr.com,www.inquisitr.com
200,,3,3.45,4495301,x1071.com,www.x1071.com
200,,6,5.88,8706,hl.co.uk,www.hl.co.uk
200,,5,4.83,502744,kasu.org,www.kasu.org
200,,5,4.79,630648,freepressseries.co.uk,www.freepressseries.co.uk
200,,3,3.22,7510404,98q.com,98q.com
200,,6,5.79,10405,news.wisc.edu,news.wisc.edu
200,,5,4.86,455516,birminghamtimes.com,www.birminghamtimes.com
200,,5,5.21,58005,mercedsunstar.com,www.mercedsunstar.com
200,,4,3.57,3927928,clemsonwire.usatoday.com,clemsonwire.usatoday.com
200,,5,5.41,27998,sciencetimes.com,www.sciencetimes.com
200,,5,4.86,451583,redmond-reporter.com,www.redmond-reporter.com
