,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,PriceChange
0,ETHUSDT,60,240101,0,2281.87,2297.18,2281.27,2295.51,10771.9183,0.5977553497789238
1,ETHUSDT,60,240101,10000,2295.52,2306.6,2292.9,2303.72,8413.426,0.3572175367672605
2,ETHUSDT,60,240101,20000,2303.72,2304.72,2291.2,2293.02,5808.2533,-0.46446616776343563
3,ETHUSDT,60,240101,30000,2293.03,2294.5,2271.0,2273.81,10745.736,-0.838192260894984
4,ETHUSDT,60,240101,40000,2273.8,2279.86,2265.24,2279.55,9681.5762,0.25288064033776053
5,ETHUSDT,60,240101,50000,2279.54,2283.36,2272.62,2275.89,6705.1165,-0.16012002421541588
6,ETHUSDT,60,240101,60000,2275.89,2283.31,2274.16,2281.9,6056.6319,0.2640725166857897
7,ETHUSDT,60,240101,70000,2281.9,2287.88,2281.51,2284.67,5664.1887,0.12139006967877566
8,ETHUSDT,60,240101,80000,2284.68,2287.38,2280.0,2287.01,5571.1935,0.10198364760055598
9,ETHUSDT,60,240101,90000,2287.01,2300.0,2287.0,2299.8,8083.262,0.5592454777198159
10,ETHUSDT,60,240101,100000,2299.8,2303.0,2297.4,2302.04,8188.7741,0.09739977389337252
11,ETHUSDT,60,240101,110000,2302.04,2305.05,2299.0,2304.47,6050.8796,0.1055585480704
12,ETHUSDT,60,240101,120000,2304.47,2307.24,2299.04,2299.43,7257.2379,-0.21870538562011932
13,ETHUSDT,60,240101,130000,2299.42,2308.2,2298.07,2304.16,5288.8224,0.2061389393847049
14,ETHUSDT,60,240101,140000,2304.16,2305.11,2294.84,2300.99,7316.2575,-0.13757725157975456
15,ETHUSDT,60,240101,150000,2300.99,2318.34,2299.2,2314.7,12303.5344,0.5958304903541535
16,ETHUSDT,60,240101,160000,2314.69,2319.55,2306.53,2309.89,11755.1864,-0.20737118145411187
17,ETHUSDT,60,240101,170000,2309.89,2317.09,2306.48,2313.76,8560.8241,0.16754044564894197
18,ETHUSDT,60,240101,180000,2313.77,2331.77,2313.76,2326.9,15349.3543,0.5674721342225073
19,ETHUSDT,60,240101,190000,2326.9,2340.98,2322.0,2337.26,11136.8878,0.4452275559757672
20,ETHUSDT,60,240101,200000,2337.27,2348.78,2335.25,2340.98,17493.0377,0.15873219610913744
21,ETHUSDT,60,240101,210000,2340.98,2346.55,2332.2,2337.83,10238.9674,-0.13455903083324466
22,ETHUSDT,60,240101,220000,2337.83,2339.1,2323.66,2334.21,6444.2583,-0.15484444976751477
23,ETHUSDT,60,240101,230000,2334.22,2352.37,2334.17,2352.04,11817.3671,0.7634241845241736
24,ETHUSDT,60,240102,0,2352.05,2391.43,2346.95,2387.58,40687.4646,1.5105971386662589
25,ETHUSDT,60,240102,10000,2387.59,2397.56,2370.38,2378.08,29424.4237,-0.39830959251798753
26,ETHUSDT,60,240102,20000,2378.09,2382.96,2373.65,2382.95,13292.5147,0.20436568843061753
27,ETHUSDT,60,240102,30000,2382.96,2388.61,2371.47,2386.43,16262.0974,0.14561721556382817
28,ETHUSDT,60,240102,40000,2386.42,2390.44,2378.58,2387.66,12124.3336,0.05196067750017942
29,ETHUSDT,60,240102,50000,2387.66,2392.4,2377.18,2377.48,14852.3142,-0.42635886181448934
30,ETHUSDT,60,240102,60000,2377.47,2383.68,2373.86,2373.86,10223.5551,-0.15184208423238454
31,ETHUSDT,60,240102,70000,2373.86,2388.93,2373.69,2385.84,13341.4557,0.5046632910112651
32,ETHUSDT,60,240102,80000,2385.84,2431.3,2380.09,2426.49,48568.8207,1.7038024343627247
33,ETHUSDT,60,240102,90000,2426.49,2428.43,2411.74,2413.77,21469.8389,-0.5242139881062688
34,ETHUSDT,60,240102,100000,2413.77,2416.4,2392.85,2398.14,19010.6342,-0.6475347692613675
35,ETHUSDT,60,240102,110000,2398.15,2402.91,2380.36,2391.24,17120.8522,-0.28813877363802554
36,ETHUSDT,60,240102,120000,2391.24,2404.68,2382.73,2386.85,15110.638,-0.1835867583345826
37,ETHUSDT,60,240102,130000,2386.85,2400.78,2382.22,2398.0,13619.2626,0.4671428870687346
38,ETHUSDT,60,240102,140000,2398.01,2402.65,2354.92,2367.28,33817.2174,-1.2814792265253279
39,ETHUSDT,60,240102,150000,2367.27,2371.14,2352.04,2357.48,25617.6125,-0.41355654403595554
40,ETHUSDT,60,240102,160000,2357.48,2369.6,2350.19,2367.91,18916.5505,0.4424215687937898
41,ETHUSDT,60,240102,170000,2367.92,2368.14,2350.95,2357.43,11178.9001,-0.4430048312443088
42,ETHUSDT,60,240102,180000,2357.43,2369.6,2355.54,2365.7,8386.0845,0.3508057503298076
43,ETHUSDT,60,240102,190000,2365.7,2372.75,2354.79,2369.19,18480.2093,0.14752504544110567
44,ETHUSDT,60,240102,200000,2369.19,2380.0,2358.32,2359.87,15536.6175,-0.3933833926363087
45,ETHUSDT,60,240102,210000,2359.86,2366.34,2341.0,2366.34,16682.1997,0.27459256057562814
46,ETHUSDT,60,240102,220000,2366.33,2372.5,2357.53,2359.03,9548.8149,-0.308494588666827
47,ETHUSDT,60,240102,230000,2359.02,2363.24,2351.0,2355.34,14769.2522,-0.15599698179751914
48,ETHUSDT,60,240103,0,2355.35,2367.0,2347.4,2361.39,14703.209,0.2564374721378973
49,ETHUSDT,60,240103,10000,2361.39,2375.0,2360.04,2373.08,10216.5552,0.49504740851786677
50,ETHUSDT,60,240103,20000,2373.08,2384.66,2367.33,2368.75,14123.3289,-0.18246329664402075
51,ETHUSDT,60,240103,30000,2368.75,2370.31,2364.21,2368.51,7666.7494,-0.010131926121362817
52,ETHUSDT,60,240103,40000,2368.51,2373.9,2363.21,2370.5,11719.5227,0.08401906683948059
53,ETHUSDT,60,240103,50000,2370.51,2379.61,2367.99,2376.94,9631.564,0.2712496467004921
54,ETHUSDT,60,240103,60000,2376.94,2380.9,2373.6,2375.34,9648.9752,-0.06731343660336016
55,ETHUSDT,60,240103,70000,2375.35,2379.68,2356.99,2361.64,15554.4245,-0.577178100069465
56,ETHUSDT,60,240103,80000,2361.65,2371.4,2361.26,2370.5,11377.5475,0.37473800097389154
57,ETHUSDT,60,240103,90000,2370.5,2385.45,2370.29,2376.01,17937.7063,0.23244041341490057
58,ETHUSDT,60,240103,100000,2376.02,2380.84,2360.88,2364.58,20258.2137,-0.4814774286411754
59,ETHUSDT,60,240103,110000,2364.58,2365.62,2294.01,2307.68,59133.3805,-2.4063470045420368
60,ETHUSDT,60,240103,120000,2307.99,2308.6,2100.0,2248.55,209264.8157,-2.575401106590566
