<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
QQQ,60,240102,90000,405.84,406.08,402.5,403.52,692604
QQQ,60,240102,100000,403.575,404.16,401.745,402.37,563261
QQQ,60,240102,110000,402.35,404.14,402.325,403.95,425764
QQQ,60,240102,120000,404.02,404.18,402.53,402.6,237387
QQQ,60,240102,130000,402.59,403.11,401.83,402,267905
QQQ,60,240102,140000,402.03,402.27,400.96,401.02,295028
QQQ,60,240102,150000,401.03,402.68,400.24,402.57,929283
QQQ,60,240103,90000,399.925,400.75,399.28,400.04,463155
QQQ,60,240103,100000,400.04,400.98,398.42,399.64,629065
QQQ,60,240103,110000,399.63,400.18,398.79,398.84,314658
QQQ,60,240103,120000,398.85,399.87,398.54,399.77,211409
QQQ,60,240103,130000,399.74,400.2,399.07,399.4,144127
QQQ,60,240103,140000,399.35,400.43,398.08,399.52,440329
QQQ,60,240103,150000,399.54,399.61,397.9,398.34,472447
QQQ,60,240104,90000,396.44,397.55,396.22,396.61,312428
QQQ,60,240104,100000,396.59,398.58,396.29,398.17,393655
QQQ,60,240104,110000,398.21,399.57,397.94,398.15,362239
QQQ,60,240104,120000,398.16,398.27,397.18,397.75,222912
QQQ,60,240104,130000,397.72,398.3,397.45,397.81,120813
QQQ,60,240104,140000,397.76,397.95,396.83,397.29,213603
QQQ,60,240104,150000,397.35,397.88,396.07,396.25,614528
QQQ,60,240105,90000,396.45,397.56,396.19,397.01,360845
QQQ,60,240105,100000,397.09,399.3,397.09,399.21,557058
QQQ,60,240105,110000,399.23,399.5,397.53,398.06,344699
QQQ,60,240105,120000,398.09,398.11,396.44,396.96,295732
QQQ,60,240105,130000,396.91,397.78,396.02,397.38,290086
QQQ,60,240105,140000,397.41,397.87,395.71,395.82,227442
QQQ,60,240105,150000,395.84,396.99,395.36,396.77,499627
QQQ,60,240108,90000,397.98,400.92,397.87,400.87,392288
QQQ,60,240108,100000,400.8,401.81,400.445,401.44,432969
QQQ,60,240108,110000,401.51,402.02,401.1,401.94,319945
QQQ,60,240108,120000,402.04,402.96,401.9,402.91,222389
QQQ,60,240108,130000,402.91,403.55,402.67,403.49,177063
QQQ,60,240108,140000,403.485,404.77,403.28,404.56,315774
QQQ,60,240108,150000,404.55,405.23,404.26,405.01,913153
QQQ,60,240109,90000,401.91,402.99,401.71,402.78,824801
QQQ,60,240109,100000,402.78,403.87,402.25,403.47,592479
QQQ,60,240109,110000,403.45,405.82,403.44,405.82,359878
QQQ,60,240109,120000,405.83,406.18,405.39,406.15,170712
QQQ,60,240109,130000,406.15,406.67,405.03,406.03,212032
QQQ,60,240109,140000,406.02,406.37,405.23,405.64,141208
QQQ,60,240109,150000,405.72,406.05,404.535,405.8,525453
QQQ,60,240110,90000,406.1,406.89,405.46,406.05,287099
QQQ,60,240110,100000,406.02,407.37,405.17,407.34,330795
