,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,PriceChange
0,QQQ,60,240102,90000,405.84,406.08,402.5,403.52,692604,-0.5716538537354606
1,QQQ,60,240102,100000,403.575,404.16,401.745,402.37,563261,-0.29858142848292984
2,QQQ,60,240102,110000,402.35,404.14,402.325,403.95,425764,0.39766372561202085
3,QQQ,60,240102,120000,404.02,404.18,402.53,402.6,237387,-0.3514677491213205
4,QQQ,60,240102,130000,402.59,403.11,401.83,402.0,267905,-0.14655108174569043
5,QQQ,60,240102,140000,402.03,402.27,400.96,401.02,295028,-0.2512250329577372
6,QQQ,60,240102,150000,401.03,402.68,400.24,402.57,929283,0.3840111712340774
7,QQQ,60,240103,90000,399.925,400.75,399.28,400.04,463155,0.02875539163593401
8,QQQ,60,240103,100000,400.04,400.98,398.42,399.64,629065,-0.09999000099990853
9,QQQ,60,240103,110000,399.63,400.18,398.79,398.84,314658,-0.19768285664239935
10,QQQ,60,240103,120000,398.85,399.87,398.54,399.77,211409,0.2306631565751433
11,QQQ,60,240103,130000,399.74,400.2,399.07,399.4,144127,-0.08505528593586627
12,QQQ,60,240103,140000,399.35,400.43,398.08,399.52,440329,0.042569174909217244
13,QQQ,60,240103,150000,399.54,399.61,397.9,398.34,472447,-0.3003453972067992
14,QQQ,60,240104,90000,396.44,397.55,396.22,396.61,312428,0.04288164665523558
15,QQQ,60,240104,100000,396.59,398.58,396.29,398.17,393655,0.39839632870219643
16,QQQ,60,240104,110000,398.21,399.57,397.94,398.15,362239,-0.015067426734638074
17,QQQ,60,240104,120000,398.16,398.27,397.18,397.75,222912,-0.10297367892305229
18,QQQ,60,240104,130000,397.72,398.3,397.45,397.81,120813,0.022628985215723367
19,QQQ,60,240104,140000,397.76,397.95,396.83,397.29,213603,-0.11816170555107866
20,QQQ,60,240104,150000,397.35,397.88,396.07,396.25,614528,-0.27683402541840263
21,QQQ,60,240105,90000,396.45,397.56,396.19,397.01,360845,0.1412536259301305
22,QQQ,60,240105,100000,397.09,399.3,397.09,399.21,557058,0.5338840061447039
23,QQQ,60,240105,110000,399.23,399.5,397.53,398.06,344699,-0.2930641484858392
24,QQQ,60,240105,120000,398.09,398.11,396.44,396.96,295732,-0.28385540958074695
25,QQQ,60,240105,130000,396.91,397.78,396.02,397.38,290086,0.1184147539744452
26,QQQ,60,240105,140000,397.41,397.87,395.71,395.82,227442,-0.40009058654790564
27,QQQ,60,240105,150000,395.84,396.99,395.36,396.77,499627,0.23494341147938738
28,QQQ,60,240108,90000,397.98,400.92,397.87,400.87,392288,0.7261671440775883
29,QQQ,60,240108,100000,400.8,401.81,400.445,401.44,432969,0.15968063872255148
30,QQQ,60,240108,110000,401.51,402.02,401.1,401.94,319945,0.10709571368085646
31,QQQ,60,240108,120000,402.04,402.96,401.9,402.91,222389,0.21639637846980514
32,QQQ,60,240108,130000,402.91,403.55,402.67,403.49,177063,0.14395274378893155
33,QQQ,60,240108,140000,403.485,404.77,403.28,404.56,315774,0.2664287396061783
34,QQQ,60,240108,150000,404.55,405.23,404.26,405.01,913153,0.11370658756642676
35,QQQ,60,240109,90000,401.91,402.99,401.71,402.78,824801,0.2164663730685844
36,QQQ,60,240109,100000,402.78,403.87,402.25,403.47,592479,0.17130939967229122
37,QQQ,60,240109,110000,403.45,405.82,403.44,405.82,359878,0.5874333870368087
38,QQQ,60,240109,120000,405.83,406.18,405.39,406.15,170712,0.07885075031416929
39,QQQ,60,240109,130000,406.15,406.67,405.03,406.03,212032,-0.029545734334606562
40,QQQ,60,240109,140000,406.02,406.37,405.23,405.64,141208,-0.0935914486971074
41,QQQ,60,240109,150000,405.72,406.05,404.535,405.8,525453,0.019718032140388465
42,QQQ,60,240110,90000,406.1,406.89,405.46,406.05,287099,-0.012312238364937543
43,QQQ,60,240110,100000,406.02,407.37,405.17,407.34,330795,0.32510713757942794
44,QQQ,60,240110,110000,407.35,407.45,406.44,407.005,200010,-0.08469375230146735
45,QQQ,60,240110,120000,407.01,407.86,406.83,407.79,130383,0.19164148301025272
46,QQQ,60,240110,130000,407.8,408.29,407.2,408.12,197390,0.07846983815595712
47,QQQ,60,240110,140000,408.125,409.48,408.06,409.46,245088,0.32710566615619713
48,QQQ,60,240110,150000,409.45,409.51,407.35,408.55,560814,-0.21980705824886487
49,QQQ,60,240111,90000,409.79,411.18,408.43,409.2,432843,-0.14397618292296832
50,QQQ,60,240111,100000,409.23,409.24,405.97,406.75,753325,-0.6060161767221411
51,QQQ,60,240111,110000,406.71,406.9,404.25,404.73,685666,-0.4868333702146398
52,QQQ,60,240111,120000,404.73,406.76,404.7,406.31,377523,0.3903837125985185
53,QQQ,60,240111,130000,406.27,408.64,406.25,408.58,273977,0.5685873926206716
54,QQQ,60,240111,140000,408.6,409.77,408.13,409.55,253660,0.23250122369064824
55,QQQ,60,240111,150000,409.61,409.62,408.39,409.34,410855,-0.06591635946388971
56,QQQ,60,240112,90000,410.4,411.25,409.63,409.88,276680,-0.12670565302143807
57,QQQ,60,240112,100000,409.94,410.35,408.15,408.89,562944,-0.25613504415280564
58,QQQ,60,240112,110000,408.91,410.11,408.36,408.5,324266,-0.10026656232423392
59,QQQ,60,240112,120000,408.54,409.39,408.27,409.15,236308,0.14931218485336975
60,QQQ,60,240112,130000,409.19,409.84,409.15,409.75,182993,0.13685573938757112
61,QQQ,60,240112,140000,409.75,410.08,408.9,409.08,217304,-0.1635143380109862
62,QQQ,60,240112,150000,409.05,409.74,408.61,409.55,567680,0.1222344456667889
63,QQQ,60,240116,90000,408.31,409.01,406.835,408.24,594069,-0.017143836790672082
64,QQQ,60,240116,100000,408.25,411.12,407.73,410.6,665983,0.5756276791181929
65,QQQ,60,240116,110000,410.68,410.85,408.77,409.11,646300,-0.3822927827018587
66,QQQ,60,240116,120000,409.09,409.36,407.78,407.87,297761,-0.2982228849397371
67,QQQ,60,240116,130000,407.87,409.08,407.71,407.99,258027,0.029421139088436157
68,QQQ,60,240116,140000,407.96,408.65,407.02,408.625,220392,0.16300617707618895
