,Unnamed: 0,<TICKER>,<PER>,Date,Time,<OPEN>,<HIGH>,<LOW>,Close/Last,<VOL>,Pct_Change,SMA10,SMA20,SMA50,SMA100,SMA200,SMA500,EMA8,EMA20,EMA50,EMA200,Denoised_Close,ema_pct_change
0,0,SPY,60,240102,90000,472.16,472.79,471.37,472.27,1063758,0.0232971873940945,,,,,,,472.27,472.27,472.27,472.27,525.031858031742,0.0
1,1,SPY,60,240102,100000,472.275,472.7,471.31,471.64,811607,-0.1344555608490796,,,,,,,472.13,472.21,472.24529411764706,472.2637313432836,521.9106099327907,-0.029644059542210943
2,2,SPY,60,240102,110000,471.67,473.29,471.64,473.17,688103,0.3180189539296542,,,,,,,472.36111111111114,472.3014285714286,472.28155709342565,472.2727489418579,518.804269353981,0.04895073626143276
3,3,SPY,60,240102,120000,473.19,473.66,472.59,472.64,600351,-0.1162323802278178,,,,,,,472.42308641975313,472.33367346938775,472.2956136779972,472.2764031812424,515.7210522721844,0.013120324087689816
4,4,SPY,60,240102,130000,472.65,472.97,472.0,472.1,543311,-0.1163651750766856,,,,,,,472.35128943758576,472.3114188532556,472.2879425533699,472.2746479257077,512.6690402706695,-0.015197602367722496
5,5,SPY,60,240102,140000,472.125,472.25,470.92,470.95,711816,-0.2488747683346595,,,,,,,472.03989178478895,472.1817599148503,472.2354742179436,472.2614673493325,509.6561441615485,-0.06592501381071925
6,6,SPY,60,240102,150000,470.93,472.67,470.49,472.6,2751590,0.3546174590703535,,,,,,,472.1643602770581,472.2215923039122,472.2497693466517,472.2648358334188,506.6900686580844,0.026368214728322847
7,7,SPY,60,240103,90000,470.43,470.53,469.69,469.95,848870,-0.1020343090364173,,,,,,,471.67228021548965,472.00525017973007,472.1595823134497,472.2418026410465,503.7782782859523,-0.10421795945795287
8,8,SPY,60,240103,100000,469.91,470.94,468.72,469.39,1157542,-0.1106594879870695,,,,,,,471.1651068342697,471.7561787340415,472.050971242334,472.21342649536444,500.92796471464965,-0.10752664561679559
9,9,SPY,60,240103,110000,469.39,469.92,469.13,469.26,574788,-0.0276955197170786,471.39700000000005,,,,,,470.74174975998756,471.51844742603754,471.9415213896935,472.1840391670524,498.14601568129274,-0.08985323151934343
10,10,SPY,60,240103,120000,469.27,470.39,468.98,470.31,467888,0.2216208153088883,471.201,,,,,,470.6458053688792,471.40335719498637,471.87754015872514,472.1653920111613,495.4389856690738,-0.020381534282276625
11,11,SPY,60,240103,130000,470.3,470.77,469.87,470.11,431252,-0.0403997448437162,471.04800000000006,,,,,,470.5267375091283,471.28018031927337,471.80822485838297,472.14494034935876,492.8130684917867,-0.025298825229647104
12,12,SPY,60,240103,140000,470.06,471.19,468.95,470.22,1107899,0.03403820788836,470.753,,,,,,470.4585736182109,471.17921076505684,471.74594153060326,472.1257867140418,490.2740719240579,-0.014486719984974084
13,13,SPY,60,240103,150000,470.23,470.29,468.17,468.76,2071768,-0.3126129766284642,470.36499999999995,,,,,,470.08111281416404,470.9488097398133,471.6288457843051,472.09229629897675,487.827394504409,-0.08023252741338194
14,14,SPY,60,240104,90000,468.3,469.26,468.14,468.92,496836,0.1323937646807611,470.047,,,,,,469.82308774434983,470.755589764593,471.5226165378618,472.0607311616735,485.478004625025,-0.05488947817314793
15,15,SPY,60,240104,100000,468.89,470.21,468.69,469.85,707411,0.2047388513297439,469.93700000000007,,,,,,469.8290682456054,470.66934312034607,471.45702373245547,472.0387338366818,483.2304220082461,0.0012729262166111255
16,16,SPY,60,240104,110000,469.87,470.96,469.48,469.72,623423,-0.0319237235831139,469.649,,,,,,469.8048308576931,470.5789294898369,471.3889051547121,472.01566185820735,481.0887016554146,-0.005158767209278992
17,17,SPY,60,240104,120000,469.72,469.82,468.67,469.13,498336,-0.125606744443505,469.567,,,,,,469.6548684448724,470.44093620509057,471.3003206388411,471.9869488048919,479.05642033887295,-0.03192015129919179
18,18,SPY,60,240104,130000,469.11,469.46,468.98,469.13,311952,0.0042633923813139,469.541,,,,,,469.5382310126785,470.31608513793907,471.2152100255532,471.9585214535995,477.1366656927227,-0.02483471162134654
19,19,SPY,60,240104,140000,469.1,469.33,468.19,468.7,701459,-0.0852696653165709,469.48499999999996,470.441,,,,,469.35195745430553,470.1621722676592,471.1165743382766,471.9260983545587,475.3320279425323,-0.03967164888176722
20,20,SPY,60,240104,150000,468.7,469.04,467.05,467.28,2141341,-0.3029656496693014,469.1820000000001,470.1915,,,,,468.89152246445985,469.88767967073926,470.96612044265794,471.87986852018497,473.6445942985822,-0.09810015331416233
21,21,SPY,60,240105,90000,467.5,468.58,467.13,468.12,608339,0.1326203208556159,468.983,470.0155,,,,,468.7200730279132,469.71932922590696,470.85450787627923,471.8424568931185,472.0759460215951,-0.03656484033780494
22,22,SPY,60,240105,100000,468.15,470.41,468.15,470.18,1096728,0.4336217024458036,468.979,469.866,,,,,469.0445012439325,469.76320263296344,470.8280565870134,471.8259150334855,470.627158154283,0.06921577177685379
23,23,SPY,60,240105,110000,470.15,470.44,468.6,468.78,730209,-0.2913963628629171,468.98100000000005,469.67300000000006,,,,,468.98572318972526,469.66956428696693,470.7477406424247,471.795607421212,469.29880189657774,-0.01253144510836579
24,24,SPY,60,240105,120000,468.78,468.84,467.14,467.58,724029,-0.2559836170485065,468.84700000000004,469.447,,,,,468.6733402586752,469.47055816439865,470.6235155191923,471.7536610787124,468.09094958715673,-0.06660819628483416
25,25,SPY,60,240105,130000,467.52,468.68,466.69,468.36,628199,0.1796714579055509,468.698,469.3175,,,,,468.6037090900807,469.3647907201702,470.5347502047142,471.71989330678497,467.00318223896,-0.014857079038466114
26,26,SPY,60,240105,140000,468.44,468.98,466.66,466.81,683880,-0.3479634531636913,468.40700000000004,469.02799999999996,,,,,468.20510707006275,469.1214773182492,470.38868156923525,471.67103864701596,466.03459956188567,-0.0850616442605534
27,27,SPY,60,240105,150000,466.82,468.29,466.44,467.92,1211741,0.235636862173862,468.28600000000006,468.92650000000003,,,,,468.14174994338214,469.0070509069874,470.29187052730447,471.633714879384,465.1838323918448,-0.01353191704317469
28,28,SPY,60,240108,90000,468.43,469.77,468.33,469.76,545204,0.2839271609418662,468.349,468.94500000000005,,,,,468.501361067075,469.07876034441716,470.27101285956707,471.6150709502359,464.4490574319347,0.07681671710253468
29,29,SPY,60,240108,100000,469.78,470.74,469.37,470.36,810342,0.1234620460641238,468.51500000000004,469.0,,,,,468.91439194105834,469.2007831687584,470.27450255134875,471.6025826820744,463.8280141987347,0.0881600158092688
30,30,SPY,60,240108,110000,470.39,470.9,469.97,470.88,536621,0.1041688811411826,468.875,469.0285,,,,,469.35119373193425,469.3607085812576,470.2982475493351,471.5953928046408,463.3180240547135,0.09315171348607265
31,31,SPY,60,240108,120000,470.88,471.63,470.56,471.47,505087,0.1252973156642949,469.2099999999999,469.0965,,,,,469.8220395692822,469.56159347828066,470.3441986258318,471.5941451150424,462.9160111965352,0.10031844887921082
32,32,SPY,60,240108,130000,471.47,472.07,471.26,472.02,346363,0.1166564150423048,469.39400000000006,469.18649999999997,,,,,470.3104752205528,469.79572743273013,470.4099163267796,471.5983824770818,462.6185254587163,0.10396184302430278
