,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,PriceChange
0,SPY,60,240102,90000,472.16,472.79,471.37,472.27,1063758,0.023297187394094546
1,SPY,60,240102,100000,472.275,472.7,471.31,471.64,811607,-0.13445556084907964
2,SPY,60,240102,110000,471.67,473.29,471.64,473.17,688103,0.3180189539296542
3,SPY,60,240102,120000,473.19,473.66,472.59,472.64,600351,-0.11623238022781786
4,SPY,60,240102,130000,472.65,472.97,472.0,472.1,543311,-0.11636517507668562
5,SPY,60,240102,140000,472.125,472.25,470.92,470.95,711816,-0.24887476833465955
6,SPY,60,240102,150000,470.93,472.67,470.49,472.6,2751590,0.3546174590703535
7,SPY,60,240103,90000,470.43,470.53,469.69,469.95,848870,-0.10203430903641736
8,SPY,60,240103,100000,469.91,470.94,468.72,469.39,1157542,-0.11065948798706957
9,SPY,60,240103,110000,469.39,469.92,469.13,469.26,574788,-0.027695519717078648
10,SPY,60,240103,120000,469.27,470.39,468.98,470.31,467888,0.22162081530888839
11,SPY,60,240103,130000,470.3,470.77,469.87,470.11,431252,-0.04039974484371629
12,SPY,60,240103,140000,470.06,471.19,468.95,470.22,1107899,0.03403820788836
13,SPY,60,240103,150000,470.23,470.29,468.17,468.76,2071768,-0.3126129766284642
14,SPY,60,240104,90000,468.3,469.26,468.14,468.92,496836,0.13239376468076117
15,SPY,60,240104,100000,468.89,470.21,468.69,469.85,707411,0.20473885132974395
16,SPY,60,240104,110000,469.87,470.96,469.48,469.72,623423,-0.0319237235831139
17,SPY,60,240104,120000,469.72,469.82,468.67,469.13,498336,-0.12560674444350503
18,SPY,60,240104,130000,469.11,469.46,468.98,469.13,311952,0.004263392381313937
19,SPY,60,240104,140000,469.1,469.33,468.19,468.7,701459,-0.0852696653165709
20,SPY,60,240104,150000,468.7,469.04,467.05,467.28,2141341,-0.30296564966930145
21,SPY,60,240105,90000,467.5,468.58,467.13,468.12,608339,0.13262032085561595
22,SPY,60,240105,100000,468.15,470.41,468.15,470.18,1096728,0.4336217024458036
23,SPY,60,240105,110000,470.15,470.44,468.6,468.78,730209,-0.2913963628629171
24,SPY,60,240105,120000,468.78,468.84,467.14,467.58,724029,-0.2559836170485065
25,SPY,60,240105,130000,467.52,468.68,466.69,468.36,628199,0.17967145790555097
26,SPY,60,240105,140000,468.44,468.98,466.66,466.81,683880,-0.3479634531636913
27,SPY,60,240105,150000,466.82,468.29,466.44,467.92,1211741,0.23563686217386204
28,SPY,60,240108,90000,468.43,469.77,468.33,469.76,545204,0.28392716094186626
29,SPY,60,240108,100000,469.78,470.74,469.37,470.36,810342,0.12346204606412384
30,SPY,60,240108,110000,470.39,470.9,469.97,470.88,536621,0.10416888114118267
31,SPY,60,240108,120000,470.88,471.63,470.56,471.47,505087,0.1252973156642949
32,SPY,60,240108,130000,471.47,472.07,471.26,472.02,346363,0.11665641504230481
33,SPY,60,240108,140000,472.03,474.0,471.92,473.75,766140,0.3643836196851953
34,SPY,60,240108,150000,473.76,474.75,473.38,474.54,1856820,0.16464032421479854
35,SPY,60,240109,90000,471.87,472.19,471.36,472.16,425043,0.06145760484879744
36,SPY,60,240109,100000,472.16,472.95,471.58,472.23,617374,0.01482548288715545
37,SPY,60,240109,110000,472.22,474.22,472.21,474.22,483888,0.42353140485366986
38,SPY,60,240109,120000,474.23,474.465,473.83,474.34,355510,0.023195495856431856
39,SPY,60,240109,130000,474.35,474.92,473.15,474.27,521442,-0.016865183935920926
40,SPY,60,240109,140000,474.31,474.54,473.37,473.79,463743,-0.10963294048195943
41,SPY,60,240109,150000,473.79,474.24,472.93,473.85,1361838,0.012663838409422375
42,SPY,60,240110,90000,474.16,475.34,474.15,474.71,490201,0.11599460097856304
43,SPY,60,240110,100000,474.7,475.24,473.88,475.22,513542,0.10954286918054322
44,SPY,60,240110,110000,475.24,475.27,474.44,474.9,479928,-0.07154279942766431
45,SPY,60,240110,120000,474.94,475.475,474.605,475.4,434419,0.09685433949551092
46,SPY,60,240110,130000,475.39,475.925,474.82,475.78,577430,0.08203790571951164
47,SPY,60,240110,140000,475.76,477.28,475.69,477.26,736471,0.315285017655961
48,SPY,60,240110,150000,477.26,477.44,475.22,476.53,1481593,-0.15295645979131253
49,SPY,60,240110,160000,476.53,476.53,476.53,476.53,200,0.0
50,SPY,60,240111,90000,477.59,478.1,475.74,476.32,663001,-0.26591846562951105
51,SPY,60,240111,100000,476.32,476.37,473.59,473.99,1074141,-0.489166946590524
52,SPY,60,240111,110000,474.01,474.24,472.28,472.62,872976,-0.293242758591588
53,SPY,60,240111,120000,472.63,474.35,472.56,473.96,549037,0.28140405814272984
54,SPY,60,240111,130000,473.935,475.81,473.88,475.75,645336,0.3829639085528601
55,SPY,60,240111,140000,475.76,476.97,475.33,476.81,636836,0.22069951235917507
56,SPY,60,240111,150000,476.83,476.9,475.47,476.35,1171297,-0.10066480716397067
57,SPY,60,240112,90000,477.84,478.59,477.1,477.1,474728,-0.1548635526535979
58,SPY,60,240112,100000,477.16,477.5,475.23,475.81,955711,-0.28292396680359266
59,SPY,60,240112,110000,475.81,476.8,475.415,475.64,561787,-0.03572854710914355
60,SPY,60,240112,120000,475.64,476.47,475.39,476.12,390739,0.10091665965856914
61,SPY,60,240112,130000,476.13,477.0,476.13,476.99,352663,0.18062293911327026
62,SPY,60,240112,140000,476.93,477.31,476.15,476.27,450528,-0.13838508795840584
63,SPY,60,240112,150000,476.24,476.9,475.76,476.665,954871,0.08924071896523
64,SPY,60,240116,90000,475.26,475.6,473.47,474.5,805804,-0.15991246896435446
65,SPY,60,240116,100000,474.49,476.59,474.15,476.19,1086183,0.35827941579379724
66,SPY,60,240116,110000,476.21,476.6,474.63,475.23,1016529,-0.2057915625459275
67,SPY,60,240116,120000,475.23,475.36,473.94,473.96,607443,-0.26723902110557807
68,SPY,60,240116,130000,473.96,475.2,473.83,474.07,604714,0.023208709595749357
69,SPY,60,240116,140000,474.09,474.36,473.08,474.29,632491,0.04218608281129015
70,SPY,60,240116,150000,474.28,475.05,473.79,474.93,1366304,0.137049843974031
71,SPY,60,240117,90000,471.82,471.93,471.05,471.28,726992,-0.11445042600992338
72,SPY,60,240117,100000,471.32,472.36,471.05,472.02,732322,0.14851905287278042
73,SPY,60,240117,110000,472.01,472.79,472.0,472.19,562983,0.038134785279974326
74,SPY,60,240117,120000,472.18,472.3,471.13,471.68,426357,-0.10589182091575247
75,SPY,60,240117,130000,471.68,472.03,469.875,470.67,529377,-0.21412822252374297
76,SPY,60,240117,140000,470.66,471.76,470.55,471.47,538841,0.17209875493987215
77,SPY,60,240117,150000,471.48,472.6,470.68,472.275,1107502,0.16861796894883327
78,SPY,60,240118,90000,473.99,474.46,473.4,473.89,566454,-0.021097491508264465
79,SPY,60,240118,100000,473.87,474.88,473.41,474.32,770673,0.09496275349779235
80,SPY,60,240118,110000,474.3,475.03,473.67,474.47,657312,0.03584229390681339
81,SPY,60,240118,120000,474.47,474.55,473.01,473.18,673539,-0.27188231078888453
82,SPY,60,240118,130000,473.21,474.12,472.43,473.98,642724,0.1627184548086555
83,SPY,60,240118,140000,473.99,475.94,473.99,475.75,818329,0.3713158505453682
84,SPY,60,240118,150000,475.81,477.03,475.59,476.47,1385475,0.13871082995313783
85,SPY,60,240118,160000,476.465,476.465,476.465,476.465,200,0.0
86,SPY,60,240119,90000,477.64,477.97,476.95,477.92,576802,0.05862155598359215
87,SPY,60,240119,100000,478.02,478.56,477.0,478.28,749825,0.054391029664028895
88,SPY,60,240119,110000,478.31,479.24,478.01,478.88,635924,0.11916957621626
89,SPY,60,240119,120000,478.88,480.2,478.285,480.2,624406,0.2756431673905766
90,SPY,60,240119,130000,480.19,481.71,479.74,481.66,643293,0.3061288240071695
91,SPY,60,240119,140000,481.67,482.72,481.33,482.22,884386,0.11418606099612003
92,SPY,60,240119,150000,482.225,482.54,481.83,482.41,1451516,0.038363834309710666
93,SPY,60,240122,90000,483.99,485.19,483.91,485.0,582255,0.2086819975619312
94,SPY,60,240122,100000,485.03,485.21,483.36,483.49,901448,-0.3175061336412106
95,SPY,60,240122,110000,483.57,484.2,483.0,484.05,459605,0.09926174080278308
96,SPY,60,240122,120000,484.07,484.155,483.26,483.75,399520,-0.06610614167372347
97,SPY,60,240122,130000,483.77,483.97,482.79,483.82,513558,0.010335490005583516
98,SPY,60,240122,140000,483.85,484.01,483.03,483.62,538684,-0.047535393200375774
99,SPY,60,240122,150000,483.65,484.19,483.33,483.52,1062351,-0.026878941383230735
100,SPY,60,240123,90000,484.01,484.35,483.54,483.97,324784,-0.008264292060073886
101,SPY,60,240123,100000,483.97,484.22,483.06,483.26,490327,-0.14670330805629198
102,SPY,60,240123,110000,483.28,483.68,482.89,483.53,329395,0.051729846051978154
103,SPY,60,240123,120000,483.52,483.98,483.08,483.92,186316,0.08272667107876286
104,SPY,60,240123,130000,483.91,484.03,483.57,483.945,209977,0.007232749891502173
105,SPY,60,240123,140000,483.98,484.475,483.63,484.33,278001,0.0723170378941208
106,SPY,60,240123,150000,484.34,485.1,484.19,484.88,928732,0.11149192715861182
107,SPY,60,240124,90000,487.82,487.82,486.96,487.1,451825,-0.14759542454183316
108,SPY,60,240124,100000,487.11,488.58,486.41,487.95,840363,0.17244564882674857
109,SPY,60,240124,110000,487.96,488.4,487.48,488.32,555448,0.07377653906058153
110,SPY,60,240124,120000,488.33,488.77,487.82,488.71,400194,0.07781623082751325
111,SPY,60,240124,130000,488.72,488.72,486.92,487.32,694282,-0.2864625961695928
112,SPY,60,240124,140000,487.34,487.37,485.97,486.56,675082,-0.16005253006114267
113,SPY,60,240124,150000,486.48,486.89,485.02,485.42,1456180,-0.21789179411281084
114,SPY,60,240125,90000,487.575,487.7,486.79,487.29,472719,-0.05845254576218391
115,SPY,60,240125,100000,487.34,488.305,486.87,487.17,758037,-0.03488324373126751
116,SPY,60,240125,110000,487.17,488.105,486.83,487.61,592213,0.0903175482890978
117,SPY,60,240125,120000,487.64,487.74,486.17,486.56,660643,-0.22147485850217047
118,SPY,60,240125,130000,486.59,487.31,485.79,485.95,569048,-0.13152756941161686
119,SPY,60,240125,140000,485.925,486.66,485.4,486.66,695885,0.15125791017132553
120,SPY,60,240125,150000,486.66,488.04,486.31,488.01,1445101,0.2774010602884901
121,SPY,60,240126,90000,487.59,488.31,487.24,487.7,421836,0.02255993765253874
122,SPY,60,240126,100000,487.7,489.03,487.04,489.025,763996,0.2716834119335634
123,SPY,60,240126,110000,489.0,489.115,488.11,488.75,595239,-0.051124744376278126
124,SPY,60,240126,120000,488.74,488.88,486.71,487.06,739393,-0.34374104841019903
125,SPY,60,240126,130000,487.02,487.51,486.55,486.99,562081,-0.0061599112972717165
126,SPY,60,240126,140000,486.98,488.14,486.95,487.98,564417,0.20534724218653744
127,SPY,60,240126,150000,488.0,488.045,487.03,487.47,1213524,-0.10860655737704358
128,SPY,60,240129,90000,487.73,488.14,487.46,488.02,385953,0.05945912697598335
129,SPY,60,240129,100000,488.03,488.26,487.18,487.33,637026,-0.14343380529885225
130,SPY,60,240129,110000,487.32,488.18,487.17,488.13,395053,0.16621521792661953
131,SPY,60,240129,120000,488.135,488.59,487.87,488.18,424008,0.00921876120335889
132,SPY,60,240129,130000,488.21,488.535,487.85,488.24,205380,0.006144896663327166
133,SPY,60,240129,140000,488.22,489.11,488.13,488.89,360895,0.1372332145344228
134,SPY,60,240129,150000,488.9,491.41,488.9,491.27,1401190,0.4847617099611382
135,SPY,60,240130,90000,490.55,491.29,490.54,491.29,433119,0.15085108551625911
136,SPY,60,240130,100000,491.3,491.32,490.35,490.66,681854,-0.13026663952778064
137,SPY,60,240130,110000,490.64,491.47,490.46,491.31,478069,0.13655633458340452
138,SPY,60,240130,120000,491.33,491.47,490.11,490.4,493189,-0.1892821525247811
139,SPY,60,240130,130000,490.35,491.04,490.13,490.74,335771,0.07953502600183264
140,SPY,60,240130,140000,490.73,491.48,490.46,491.37,417020,0.13041794877019672
141,SPY,60,240130,150000,491.39,491.61,490.72,490.89,1001819,-0.10175217240888093
142,SPY,60,240131,90000,488.62,489.08,487.53,487.77,582814,-0.1739593139863335
143,SPY,60,240131,100000,487.72,487.82,486.4,486.75,725184,-0.1988846059214359
144,SPY,60,240131,110000,486.73,487.48,486.35,486.84,484635,0.02259979865633037
145,SPY,60,240131,120000,486.88,487.405,486.56,487.35,399859,0.09653302661847422
146,SPY,60,240131,130000,487.38,487.71,487.035,487.42,426974,0.008207148426283489
147,SPY,60,240131,140000,487.44,489.0,485.63,486.5,1869871,-0.1928442474971274
148,SPY,60,240131,150000,486.54,486.6,482.89,482.9,3544290,-0.7481399268302797
149,SPY,60,240201,90000,484.61,485.72,484.57,485.05,624212,0.0907946596232017
150,SPY,60,240201,100000,485.01,486.21,484.09,484.09,1055237,-0.1896868105812284
151,SPY,60,240201,110000,484.09,485.79,483.8,485.67,838494,0.3263855894565145
152,SPY,60,240201,120000,485.715,488.24,485.67,487.41,853273,0.3489700750440176
153,SPY,60,240201,130000,487.4,487.595,486.21,487.23,723097,-0.03487894952809993
154,SPY,60,240201,140000,487.35,488.56,487.09,488.53,699815,0.242125782291977
155,SPY,60,240201,150000,488.58,489.23,488.105,489.23,1244106,0.13303860166196613
156,SPY,60,240202,90000,489.65,490.94,489.3,490.53,724586,0.1797202083120587
157,SPY,60,240202,100000,490.45,492.415,490.0,492.18,969256,0.3527372820878822
158,SPY,60,240202,110000,492.19,494.04,491.65,493.575,941023,0.2813953960868752
159,SPY,60,240202,120000,493.58,494.65,492.25,493.68,990778,0.020260140200174793
160,SPY,60,240202,130000,493.7,494.545,493.32,494.295,688010,0.12051853352238755
161,SPY,60,240202,140000,494.33,495.74,494.33,495.67,717364,0.2710739789209702
162,SPY,60,240202,150000,495.68,496.04,494.26,494.27,1613867,-0.28445771465462094
163,SPY,60,240205,90000,493.69,493.69,492.88,493.42,500869,-0.05469019020032446
