<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ETHUSDT,60,240101,000000,2281.87,2297.18,2281.27,2295.51,10771.9183
ETHUSDT,60,240101,010000,2295.52,2306.6,2292.9,2303.72,8413.426
ETHUSDT,60,240101,020000,2303.72,2304.72,2291.2,2293.02,5808.2533
ETHUSDT,60,240101,030000,2293.03,2294.5,2271,2273.81,10745.736
ETHUSDT,60,240101,040000,2273.8,2279.86,2265.24,2279.55,9681.5762
ETHUSDT,60,240101,050000,2279.54,2283.36,2272.62,2275.89,6705.1165
ETHUSDT,60,240101,060000,2275.89,2283.31,2274.16,2281.9,6056.6319
ETHUSDT,60,240101,070000,2281.9,2287.88,2281.51,2284.67,5664.1887
ETHUSDT,60,240101,080000,2284.68,2287.38,2280,2287.01,5571.1935
ETHUSDT,60,240101,090000,2287.01,2300,2287,2299.8,8083.262
ETHUSDT,60,240101,100000,2299.8,2303,2297.4,2302.04,8188.7741
ETHUSDT,60,240101,110000,2302.04,2305.05,2299,2304.47,6050.8796
ETHUSDT,60,240101,120000,2304.47,2307.24,2299.04,2299.43,7257.2379
ETHUSDT,60,240101,130000,2299.42,2308.2,2298.07,2304.16,5288.8224
ETHUSDT,60,240101,140000,2304.16,2305.11,2294.84,2300.99,7316.2575
ETHUSDT,60,240101,150000,2300.99,2318.34,2299.2,2314.7,12303.5344
ETHUSDT,60,240101,160000,2314.69,2319.55,2306.53,2309.89,11755.1864
ETHUSDT,60,240101,170000,2309.89,2317.09,2306.48,2313.76,8560.8241
ETHUSDT,60,240101,180000,2313.77,2331.77,2313.76,2326.9,15349.3543
ETHUSDT,60,240101,190000,2326.9,2340.98,2322,2337.26,11136.8878
ETHUSDT,60,240101,200000,2337.27,2348.78,2335.25,2340.98,17493.0377
ETHUSDT,60,240101,210000,2340.98,2346.55,2332.2,2337.83,10238.9674
ETHUSDT,60,240101,220000,2337.83,2339.1,2323.66,2334.21,6444.2583
ETHUSDT,60,240101,230000,2334.22,2352.37,2334.17,2352.04,11817.3671
ETHUSDT,60,240102,000000,2352.05,2391.43,2346.95,2387.58,40687.4646
ETHUSDT,60,240102,010000,2387.59,2397.56,2370.38,2378.08,29424.4237
ETHUSDT,60,240102,020000,2378.09,2382.96,2373.65,2382.95,13292.5147
ETHUSDT,60,240102,030000,2382.96,2388.61,2371.47,2386.43,16262.0974
ETHUSDT,60,240102,040000,2386.42,2390.44,2378.58,2387.66,12124.3336
ETHUSDT,60,240102,050000,2387.66,2392.4,2377.18,2377.48,14852.3142
ETHUSDT,60,240102,060000,2377.47,2383.68,2373.86,2373.86,10223.5551
ETHUSDT,60,240102,070000,2373.86,2388.93,2373.69,2385.84,13341.4557
ETHUSDT,60,240102,080000,2385.84,2431.3,2380.09,2426.49,48568.8207
ETHUSDT,60,240102,090000,2426.49,2428.43,2411.74,2413.77,21469.8389
ETHUSDT,60,240102,100000,2413.77,2416.4,2392.85,2398.14,19010.6342
ETHUSDT,60,240102,110000,2398.15,2402.91,2380.36,2391.24,17120.8522
ETHUSDT,60,240102,120000,2391.24,2404.68,2382.73,2386.85,15110.638
ETHUSDT,60,240102,130000,2386.85,2400.78,2382.22,2398,13619.2626
ETHUSDT,60,240102,140000,2398.01,2402.65,2354.92,2367.28,33817.2174
ETHUSDT,60,240102,150000,2367.27,2371.14,2352.04,2357.48,25617.6125
ETHUSDT,60,240102,160000,2357.48,2369.6,2350.19,2367.91,18916.5505
ETHUSDT,60,240102,170000,2367.92,2368.14,2350.95,2357.43,11178.9001
ETHUSDT,60,240102,180000,2357.43,2369.6,2355.54,2365.7,8386.0845
ETHUSDT,60,240102,190000,2365.7,2372.75,2354.79,2369.19,18480.2093
ETHUSDT,60,240102,200000,2369.19,2380,2358.32,2359.87,15536.6175
ETHUSDT,60,240102,210000,2359.86,2366.34,2341,2366.34,16682.1997
ETHUSDT,60,240102,220000,2366.33,2372.5,2357.53,2359.03,9548.8149
ETHUSDT,60,240102,230000,2359.02,2363.24,2351,2355.34,14769.2522
ETHUSDT,60,240103,000000,2355.35,2367,2347.4,2361.39,14703.209
ETHUSDT,60,240103,010000,2361.39,2375,2360.04,2373.08,10216.5552
ETHUSDT,60,240103,020000,2373.08,2384.66,2367.33,2368.75,14123.3289
ETHUSDT,60,240103,030000,2368.75,2370.31,2364.21,2368.51,7666.7494
ETHUSDT,60,240103,040000,2368.51,2373.9,2363.21,2370.5,11719.5227
ETHUSDT,60,240103,050000,2370.51,2379.61,2367.99,2376.94,9631.564
ETHUSDT,60,240103,060000,2376.94,2380.9,2373.6,2375.34,9648.9752
ETHUSDT,60,240103,070000,2375.35,2379.68,2356.99,2361.64,15554.4245
ETHUSDT,60,240103,080000,2361.65,2371.4,2361.26,2370.5,11377.5475
