<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPY,60,240501,090000,501.38,501.82,500.43,500.81,298192
SPY,60,240501,100000,500.83,501.57,500.1,501.34,466052
SPY,60,240501,110000,501.31,501.48,500.05,500.22,369589
SPY,60,240501,120000,500.23,501.1,499.87,500.42,221592
SPY,60,240501,130000,500.44,501.39,499.93,500.98,267372
SPY,60,240501,140000,501.01,507.41,500.76,507.26,1315294
SPY,60,240501,150000,507.35,508.18,500.09,500.25,2182831
SPY,60,240502,090000,504.15,504.68,501.67,501.94,373240
SPY,60,240502,100000,501.96,502.64,499.58,502.44,534616
SPY,60,240502,110000,502.45,503.12,501.38,502.79,388917
SPY,60,240502,120000,502.78,502.86,501.34,502.23,347975
SPY,60,240502,130000,502.33,504.38,502.31,503.85,374845
SPY,60,240502,140000,503.88,505.63,503.69,505.45,474894
SPY,60,240502,150000,505.47,505.875,503.87,505,1266710
SPY,60,240503,090000,511.14,511.98,509.61,511.55,634389
SPY,60,240503,100000,511.59,512.49,508.65,509.18,891917
SPY,60,240503,110000,509.19,510.91,508.56,510.47,504797
SPY,60,240503,120000,510.51,511.38,510.42,510.69,369772
SPY,60,240503,130000,510.73,511.61,510.6,511.29,312694
SPY,60,240503,140000,511.31,511.99,511.25,511.54,363507
SPY,60,240503,150000,511.54,511.84,511.14,511.29,1081502
SPY,60,240506,090000,513.75,514.35,513.32,514.2,358872
SPY,60,240506,100000,514.21,514.63,514.04,514.3,352778
SPY,60,240506,110000,514.28,514.53,513.85,514.36,282505
SPY,60,240506,120000,514.34,514.72,513.76,514.67,295550
SPY,60,240506,130000,514.68,515.03,514.25,514.88,286425
SPY,60,240506,140000,514.88,515.76,514.83,515.41,391270
SPY,60,240506,150000,515.4,516.61,514.89,516.58,949759
SPY,60,240507,090000,517.56,517.92,517.17,517.19,331270
SPY,60,240507,100000,517.22,518.23,516.95,518.13,348439
SPY,60,240507,110000,518.14,518.28,517.7,518.08,304103
SPY,60,240507,120000,518.09,518.29,517.58,517.87,221738
SPY,60,240507,130000,517.9,518.57,516.8,517.04,370962
SPY,60,240507,140000,517,517.43,516.45,517.01,434166
SPY,60,240507,150000,517.02,517.86,516.69,517.2,1154576
SPY,60,240508,090000,515.26,516.53,515.15,516.52,289080
SPY,60,240508,100000,516.51,517.71,516.06,517.4,348380
SPY,60,240508,110000,517.42,517.66,516.65,516.81,228214
SPY,60,240508,120000,516.815,517.12,516.27,516.63,179397
SPY,60,240508,130000,516.64,517.1,516.11,517.05,220979
SPY,60,240508,140000,517.07,517.42,516.9,517.01,218543
SPY,60,240508,150000,516.99,517.71,516.57,517.2,699981
SPY,60,240509,090000,517.38,517.77,516.71,517.58,259063
SPY,60,240509,100000,517.59,519.265,517.51,519.16,479769
SPY,60,240509,110000,519.16,519.51,518.34,518.5,314575
SPY,60,240509,120000,518.45,519.36,518.39,519.24,186673
SPY,60,240509,130000,519.22,519.63,518.79,519.2,271807
SPY,60,240509,140000,519.17,520.05,518.93,519.9,244137
SPY,60,240509,150000,519.9,520.2,519.57,520.14,1128747
SPY,60,240510,090000,521.81,522.63,521.36,522.42,384813
SPY,60,240510,100000,522.42,522.42,520.02,520.49,585415
SPY,60,240510,110000,520.5,520.65,519.59,520.37,312137
SPY,60,240510,120000,520.36,520.77,519.85,520.51,263865
SPY,60,240510,130000,520.53,520.84,519.92,520.79,201740
SPY,60,240510,140000,520.79,520.94,520.12,520.93,280553
SPY,60,240510,150000,520.88,521.34,520.63,520.83,730987
SPY,60,240513,090000,522.56,522.66,521.11,521.68,345795
SPY,60,240513,100000,521.7,521.84,521.12,521.25,335970
SPY,60,240513,110000,521.28,521.46,520.4,521.04,296768
SPY,60,240513,120000,521.025,521.37,521,521,114794
SPY,60,240513,130000,520.99,520.99,519.74,520.68,213747
SPY,60,240513,140000,520.63,520.985,520.315,520.91,173749
SPY,60,240513,150000,520.9,521.13,520.48,520.91,637693
SPY,60,240514,090000,521.11,521.67,520.88,521.29,232860
SPY,60,240514,100000,521.27,522.41,520.64,521.77,531974
SPY,60,240514,110000,521.79,522.11,520.97,521.08,221040
SPY,60,240514,120000,521.07,521.29,520.69,520.98,166374
SPY,60,240514,130000,520.99,521.48,520.56,521.27,203659
SPY,60,240514,140000,521.28,523.52,521.24,523.27,512801
SPY,60,240514,150000,523.265,523.82,522.99,523.28,1214355
SPY,60,240515,090000,525.84,526.77,525.18,525.65,403475
SPY,60,240515,100000,525.69,527.25,525.64,527.16,488118
SPY,60,240515,110000,527.19,528.16,527.15,527.9,372235
SPY,60,240515,120000,527.89,528.59,527.42,528.55,274405
SPY,60,240515,130000,528.58,528.99,528.35,528.96,282885
SPY,60,240515,140000,528.96,529.42,528.6,529,357544
SPY,60,240515,150000,528.995,530.08,528.7,529.8,1385139
SPY,60,240516,090000,529.88,530.315,529.875,530.2,168526
SPY,60,240516,100000,530.23,531.47,529.57,531.37,360644
SPY,60,240516,110000,531.38,531.52,530.52,530.92,270480
SPY,60,240516,120000,530.87,530.87,530.2,530.73,177580
SPY,60,240516,130000,530.71,530.84,529.35,530.05,292130
SPY,60,240516,140000,530.03,530.12,529.025,530.07,293921
SPY,60,240516,150000,530.11,530.2,528.55,528.66,974922
SPY,60,240517,090000,528.81,529.19,528.36,528.73,236211
SPY,60,240517,100000,528.75,529.3,528.35,529.11,275148
SPY,60,240517,110000,529.07,529.07,528.27,528.845,198967
SPY,60,240517,120000,528.81,528.99,528.07,528.79,263859
SPY,60,240517,130000,528.77,528.9,528.49,528.72,175620
SPY,60,240517,140000,528.74,528.93,527.33,528.81,436968
SPY,60,240517,150000,528.82,529.51,528.62,529.43,984175
SPY,60,240520,090000,529.57,531.22,529.48,531.15,196543
SPY,60,240520,100000,531.2,531.47,530.71,531.25,219765
SPY,60,240520,110000,531.25,531.56,530.82,531.01,157506
SPY,60,240520,120000,531.01,531.225,530.64,531.21,146960
SPY,60,240520,130000,531.21,531.28,530.07,530.25,159941
SPY,60,240520,140000,530.23,530.44,529.17,529.9,312093
SPY,60,240520,150000,529.84,530.39,529.505,530.02,720581
SPY,60,240521,090000,529.29,529.71,529.07,529.52,148051
