<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TONUSDT,60,240901,000000,5.421,5.457,5.405,5.45,134656.52
TONUSDT,60,240901,010000,5.45,5.456,5.376,5.376,290082.39
TONUSDT,60,240901,020000,5.377,5.381,5.344,5.375,192605.9
TONUSDT,60,240901,030000,5.376,5.413,5.37,5.397,185024.9
TONUSDT,60,240901,040000,5.398,5.446,5.38,5.441,151970.68
TONUSDT,60,240901,050000,5.441,5.443,5.368,5.382,305810.53
TONUSDT,60,240901,060000,5.382,5.405,5.356,5.376,276320.6
TONUSDT,60,240901,070000,5.375,5.4,5.361,5.387,137534.79
TONUSDT,60,240901,080000,5.386,5.393,5.348,5.358,155073.11
TONUSDT,60,240901,090000,5.357,5.38,5.344,5.349,175481.22
TONUSDT,60,240901,100000,5.349,5.35,5.316,5.324,233944.06
TONUSDT,60,240901,110000,5.324,5.349,5.323,5.345,96064.29
TONUSDT,60,240901,120000,5.345,5.366,5.326,5.337,122471.7
TONUSDT,60,240901,130000,5.337,5.35,5.234,5.276,462406.91
TONUSDT,60,240901,140000,5.276,5.279,5.209,5.241,458206.25
TONUSDT,60,240901,150000,5.24,5.292,5.228,5.274,259078.95
TONUSDT,60,240901,160000,5.273,5.292,5.251,5.285,208763.66
TONUSDT,60,240901,170000,5.286,5.298,5.253,5.296,188697.18
TONUSDT,60,240901,180000,5.296,5.354,5.294,5.337,217028.42
TONUSDT,60,240901,190000,5.337,5.357,5.3,5.321,171261.75
TONUSDT,60,240901,200000,5.32,5.339,5.301,5.313,120495.23
TONUSDT,60,240901,210000,5.314,5.314,5.278,5.297,109048.07
TONUSDT,60,240901,220000,5.296,5.301,5.15,5.159,623217.72
TONUSDT,60,240901,230000,5.16,5.204,5.151,5.184,261481.05
TONUSDT,60,240902,000000,5.183,5.212,5.151,5.174,197481.31
TONUSDT,60,240902,010000,5.175,5.199,5.156,5.191,126151.84
TONUSDT,60,240902,020000,5.19,5.213,5.157,5.171,227799.72
TONUSDT,60,240902,030000,5.171,5.195,5.169,5.188,99738.18
TONUSDT,60,240902,040000,5.187,5.193,5.111,5.112,287188.99
TONUSDT,60,240902,050000,5.112,5.199,5.112,5.181,162179.93
TONUSDT,60,240902,060000,5.181,5.199,5.165,5.185,137953.57
TONUSDT,60,240902,070000,5.185,5.197,5.129,5.149,227552.89
TONUSDT,60,240902,080000,5.148,5.225,5.138,5.2,384439.07
TONUSDT,60,240902,090000,5.2,5.223,5.17,5.217,309689.58
TONUSDT,60,240902,100000,5.217,5.247,5.2,5.21,312172.4
TONUSDT,60,240902,110000,5.209,5.225,5.2,5.211,180967.78
TONUSDT,60,240902,120000,5.211,5.222,5.176,5.199,187193.85
TONUSDT,60,240902,130000,5.198,5.205,5.132,5.135,318036.26
TONUSDT,60,240902,140000,5.136,5.179,5.08,5.151,1010486.74
TONUSDT,60,240902,150000,5.152,5.186,5.121,5.152,545569.7
TONUSDT,60,240902,160000,5.153,5.168,5.119,5.136,308763.72
TONUSDT,60,240902,170000,5.137,5.18,5.135,5.178,161430.56
TONUSDT,60,240902,180000,5.178,5.18,5.146,5.16,167353.01
TONUSDT,60,240902,190000,5.16,5.179,5.153,5.163,148663.05
TONUSDT,60,240902,200000,5.164,5.246,5.153,5.218,268373.67
