Date,Close/Last,Volume,Open,High,Low,Pct_Change
2014-09-22,99.05,48521990,99.74,99.75,98.62,0
2014-09-23,98.78,33775540,98.67,99.22,98.58,-0.27
2014-09-24,99.84,35900600,98.87,99.8868,98.54,1.07
2014-09-25,97.74,68551440,99.53,99.65,97.7,-2.1
2014-09-26,98.78,52887450,98.05,98.96,97.89,1.06
2014-09-29,98.65,33327550,97.8,98.92,97.75,-0.13
2014-09-30,98.79,41697090,98.92,99.3,98.32,0.14
2014-10-01,97.21,58083390,98.54,98.61,96.9,-1.6
2014-10-02,97.21,54462240,97.19,97.51,95.97,0.0
2014-10-03,98.17,41605390,97.76,98.57,97.44,0.99
2014-10-06,97.96,36017920,98.47,98.72,97.6587,-0.21
2014-10-07,96.57,45089290,97.485,97.7799,96.56,-1.42
2014-10-08,98.45,64866350,96.66,98.76,96.06,1.95
2014-10-09,96.86,61945470,98.33,98.57,96.71,-1.62
2014-10-10,94.44,77323610,96.29,96.83,94.42,-2.5
2014-10-13,92.96,77712690,94.29,94.99,92.88,-1.57
2014-10-14,92.97,71625160,93.6,94.1699,92.71,0.01
2014-10-15,92.37,108716700,91.55,92.76,90.24,-0.65
2014-10-16,91.79,93091630,90.43,92.58,90.39,-0.63
2014-10-17,93.0,68204350,92.99,93.89,92.46,1.32
2014-10-20,94.39,41213530,92.96,94.47,92.8,1.49
2014-10-21,96.87,53455250,95.54,96.87,95.32,2.63
2014-10-22,96.37,39124630,97.16,97.3,96.305,-0.52
2014-10-23,97.82,47796250,97.32,98.36,97.17,1.5
2014-10-24,98.62,43143890,97.965,98.69,97.64,0.82
2014-10-27,98.69,29498560,98.4,98.87,98.02,0.07
2014-10-28,100.18,33985690,99.1,100.2,99.08,1.51
2014-10-29,99.81,40517390,99.84,100.12,99.1,-0.37
2014-10-30,100.02,35913460,99.37,100.26,99.14,0.21
2014-10-31,101.4,54245570,101.67,101.75,101.07,1.38
2014-11-03,101.7,33388860,101.53,101.9701,101.43,0.3
2014-11-04,101.36,22722680,101.36,101.6244,100.67,-0.33
2014-11-05,101.37,25760560,102.01,102.03,101.015,0.01
2014-11-06,101.69,24654850,101.32,101.72,100.921,0.32
2014-11-07,101.6,20927680,101.87,101.91,101.07,-0.09
2014-11-10,101.96,20318780,101.65,102.09,101.38,0.35
2014-11-11,102.28,15437340,101.98,102.28,101.7,0.31
2014-11-12,102.46,22026310,101.87,102.57,101.87,0.18
2014-11-13,102.9,28011600,102.65,103.28,102.42,0.43
2014-11-14,103.22,19235860,102.87,103.22,102.53,0.31
2014-11-17,102.91,23337120,102.98,103.21,102.42,-0.3
2014-11-18,103.68,26312280,103.0,103.82,102.991,0.75
2014-11-19,103.21,23698190,103.57,103.57,102.73,-0.45
2014-11-20,103.67,22796170,102.77,103.76,102.69,0.45
2014-11-21,103.87,34046790,104.59,104.69,103.54,0.19
2014-11-24,104.68,17868860,104.15,104.73,104.06,0.78
2014-11-25,104.84,17509870,104.84,105.15,104.57,0.15
2014-11-26,105.52,18951060,104.94,105.58,104.834,0.65
2014-11-28,106.01,17360420,105.795,106.245,105.73,0.46
2014-12-01,104.81,35956720,105.72,105.9199,104.42,-1.13
2014-12-02,105.23,26001290,104.92,105.4168,104.7,0.4
2014-12-03,105.42,32924410,105.39,105.565,104.7626,0.18
2014-12-04,105.37,30991750,105.32,105.78,104.93,-0.05
2014-12-05,105.38,25611000,105.54,105.7,105.145,0.01
2014-12-08,104.63,32643610,105.11,105.57,104.075,-0.71
2014-12-09,104.96,45993410,103.41,105.04,103.0401,0.32
2014-12-10,103.31,39157290,104.77,105.03,103.12,-1.57
2014-12-11,103.8,47414550,103.61,105.04,103.59,0.47
2014-12-12,102.67,46865010,102.81,103.99,102.66,-1.09
2014-12-15,101.61,52898630,103.2,103.58,101.315,-1.03
2014-12-16,99.98,65247480,100.97,102.47,99.96,-1.6
2014-12-17,101.8,79671670,100.05,102.09,99.92,1.82
2014-12-18,104.25,49509380,103.26,104.26,102.98,2.41
2014-12-19,104.32,51411300,103.97,104.74,103.71,0.07
2014-12-22,104.58,33852980,104.15,104.61,104.0999,0.25
2014-12-23,104.21,26736440,104.96,104.97,104.09,-0.35
2014-12-24,104.3,14291330,104.34,104.7,104.2699,0.09
2014-12-26,105.04,13912750,104.6,105.26,104.57,0.71
2014-12-29,105.02,17057110,104.94,105.25,104.875,-0.02
2014-12-30,104.32,18342860,104.72,104.96,104.175,-0.67
2014-12-31,103.25,24363130,104.5,104.91,103.1,-1.03
2015-01-02,102.94,31295820,103.76,104.2,102.44,-0.3
2015-01-05,101.43,36311890,102.49,102.61,101.14,-1.47
2015-01-06,100.07,66166150,101.58,101.75,99.62,-1.34
2015-01-07,101.36,36026780,100.73,101.6,100.485,1.29
2015-01-08,103.3,40172530,102.22,103.5,102.111,1.91
2015-01-09,102.62,41401310,103.62,103.65,102.02,-0.66
2015-01-12,101.55,34107820,102.82,102.93,101.285,-1.04
2015-01-13,101.52,56135260,102.54,103.62,100.7,-0.03
2015-01-14,100.96,51233350,100.5,101.4829,100.07,-0.55
2015-01-15,99.65,50854600,101.43,101.59,99.525,-1.3
2015-01-16,100.82,35196110,99.52,100.95,99.36,1.17
2015-01-20,101.62,30848640,101.43,101.88,100.29,0.79
2015-01-21,102.14,40022140,101.32,102.619,100.9648,0.51
2015-01-22,104.03,40825720,102.54,104.14,101.64,1.85
2015-01-23,104.26,34771110,104.02,104.58,103.72,0.22
2015-01-26,104.14,19877410,104.14,104.33,103.61,-0.12
2015-01-27,101.44,45046990,102.5,102.56,101.1,-2.59
2015-01-28,100.92,43454560,103.07,103.18,100.9,-0.51
2015-01-29,101.89,46401000,100.84,102.0779,99.96,0.96
2015-01-30,101.1,41569750,101.8,102.58,100.96,-0.78
2015-02-02,101.98,43589590,101.33,102.07,99.75,0.87
2015-02-03,102.96,30732310,102.35,103.03,101.68,0.96
2015-02-04,102.87,34011550,102.54,103.55,102.31,-0.09
2015-02-05,103.76,23563960,103.13,103.83,102.87,0.87
2015-02-06,103.13,34166470,103.92,104.17,102.76,-0.61
2015-02-09,102.8,22591490,102.73,103.285,102.55,-0.32
2015-02-10,104.4,23649670,103.37,104.54,103.21,1.56
2015-02-11,104.78,20138980,104.52,105.02,104.32,0.36
2015-02-12,106.0,22488290,105.46,106.04,105.3,1.16
2015-02-13,106.91,29022100,106.3,106.93,106.101,0.86
2015-02-17,107.01,17669260,106.91,107.08,106.6432,0.09
2015-02-18,107.16,15108010,106.88,107.2199,106.74,0.14
2015-02-19,107.69,19811270,107.09,107.76,107.06,0.49
2015-02-20,108.41,28330110,107.62,108.47,107.28,0.67
2015-02-23,108.52,17815620,108.35,108.55,108.11,0.1
2015-02-24,108.6,19715430,108.38,108.73,108.05,0.07
2015-02-25,108.33,19460110,108.44,108.86,108.09,-0.25
2015-02-26,108.88,22219960,108.44,108.94,108.135,0.51
2015-02-27,108.4,26025710,108.84,108.91,108.23,-0.44
2015-03-02,109.38,22950150,108.61,109.42,108.59,0.9
2015-03-03,108.87,20712060,109.05,109.16,108.18,-0.47
2015-03-04,108.45,20974380,108.51,108.67,107.86,-0.39
2015-03-05,108.64,15357620,108.73,108.965,108.19,0.18
2015-03-06,107.41,30974620,108.5,108.71,107.14,-1.13
2015-03-09,107.72,26218500,107.63,107.9857,107.19,0.29
2015-03-10,105.72,34162690,106.95,106.98,105.72,-1.86
2015-03-11,105.11,23729670,105.875,106.01,105.07,-0.58
2015-03-12,105.8,21421310,105.03,105.92,104.96,0.66
2015-03-13,105.34,42017690,105.7,106.12,104.68,-0.43
2015-03-16,106.7,25652060,105.73,106.74,105.62,1.29
2015-03-17,106.87,19587100,106.405,107.04,106.16,0.16
2015-03-18,107.92,40540020,106.58,108.41,106.03,0.98
2015-03-19,108.08,31293790,108.03,108.38,107.87,0.15
2015-03-20,108.53,31735460,108.72,109.07,108.51,0.42
2015-03-23,108.32,17236680,108.47,108.77,108.28,-0.19
2015-03-24,107.93,21527970,108.31,108.81,107.91,-0.36
2015-03-25,105.46,41514990,108.1,108.2,105.42,-2.29
2015-03-26,105.1,46979270,104.59,105.7,104.24,-0.34
2015-03-27,105.52,33813580,105.08,105.77,104.92,0.4
2015-03-30,106.73,29417530,106.16,106.82,106.16,1.15
2015-03-31,105.6,30433340,106.43,106.65,105.57,-1.06
2015-04-01,105.05,32899830,105.6,105.62,104.37,-0.52
2015-04-02,105.12,19155470,105.15,105.46,104.78,0.07
2015-04-06,105.98,24425130,104.5,106.27,104.34,0.82
2015-04-07,105.8,19337700,105.92,106.7,105.8,-0.17
2015-04-08,106.64,25835080,105.84,106.79,105.83,0.79
2015-04-09,107.31,23035820,106.59,107.35,106.23,0.63
2015-04-10,107.75,17152480,107.27,107.76,107.03,0.41
2015-04-13,107.48,17714100,107.83,108.38,107.36,-0.25
2015-04-14,107.17,23712730,107.37,107.68,106.56,-0.29
2015-04-15,107.84,21106330,107.45,108.07,107.321,0.63
2015-04-16,107.69,16169630,107.55,107.88,107.4,-0.14
2015-04-17,106.01,46040660,106.66,106.95,105.55,-1.56
2015-04-20,107.6,28909950,106.54,107.79,106.5,1.5
2015-04-21,108.06,22679790,108.22,108.41,107.93,0.43
2015-04-22,108.65,21255260,108.34,108.83,107.64,0.55
2015-04-23,109.06,29346420,108.28,109.55,108.26,0.38
2015-04-24,110.54,32489480,110.21,110.69,110.03,1.36
2015-04-27,110.26,31009350,110.95,111.16,110.02,-0.25
2015-04-28,110.04,36468620,110.34,110.55,109.11,-0.2
2015-04-29,109.35,33990790,109.43,110.07,108.75,-0.63
2015-04-30,107.63,42163410,108.73,109.17,107.06,-1.57
2015-05-01,109.05,32250640,108.05,109.12,108.03,1.32
2015-05-04,109.23,23486200,109.4,109.91,109.17,0.17
2015-05-05,107.45,47694540,108.8,109.0,107.4,-1.63
2015-05-06,106.71,42584490,107.64,107.95,105.995,-0.69
2015-05-07,107.35,29322740,106.68,107.65,106.6,0.6
2015-05-08,108.69,32862210,108.46,108.92,108.3,1.25
2015-05-11,108.27,19654010,108.76,108.98,108.19,-0.39
2015-05-12,107.78,33638330,107.63,108.33,106.8,-0.45
2015-05-13,108.0,20727950,108.25,108.81,107.84,0.2
2015-05-14,109.58,23877920,108.88,109.67,108.48,1.46
2015-05-15,109.58,23910810,109.86,110.01,109.31,0.0
2015-05-18,110.06,17600370,109.4,110.28,109.32,0.44
2015-05-19,109.94,14189220,110.18,110.35,109.76,-0.11
2015-05-20,110.01,21073190,110.02,110.67,109.425,0.06
2015-05-21,110.58,16721600,109.82,110.73,109.66,0.52
2015-05-22,110.47,13534030,110.45,110.87,110.38,-0.1
2015-05-26,109.2,25437760,110.23,110.38,108.76,-1.15
2015-05-27,110.96,30543870,109.53,111.08,109.29,1.61
2015-05-28,110.71,17285040,110.75,111.01,110.37,-0.23
2015-05-29,110.05,28496460,110.64,110.79,109.79,-0.6
2015-06-01,110.42,24532030,110.64,110.72,109.52,0.34
2015-06-02,110.07,19427700,110.01,110.61,109.47,-0.32
2015-06-03,110.4,20414180,110.57,110.81,110.13,0.3
2015-06-04,109.56,31260840,109.78,110.48,109.21,-0.76
2015-06-05,109.3,22635950,109.43,109.69,108.63,-0.24
2015-06-08,108.19,24493160,109.25,109.33,107.97,-1.02
2015-06-09,108.01,27539820,107.93,108.4,107.2,-0.17
2015-06-10,109.49,30262740,108.38,109.81,108.26,1.37
2015-06-11,109.65,17536900,109.86,110.15,109.46,0.15
2015-06-12,108.75,27200930,109.07,109.3,108.6,-0.82
2015-06-15,108.21,31205930,107.94,108.38,107.31,-0.5
2015-06-16,108.8,16431880,108.1,108.9799,108.05,0.55
2015-06-17,109.1,23271830,108.98,109.45,108.43,0.28
2015-06-18,110.69,42761700,109.5,110.88,109.44,1.46
2015-06-19,109.89,27665750,110.49,110.575,109.81,-0.72
2015-06-22,110.7,19052920,110.7,111.03,110.45,0.74
2015-06-23,110.79,18111040,110.82,110.89,110.33,0.08
2015-06-24,110.22,15803520,110.66,111.13,110.19,-0.51
2015-06-25,110.0,18299070,110.65,110.76,109.815,-0.2
2015-06-26,109.27,31778070,109.98,110.23,108.86,-0.66
2015-06-29,106.69,49986200,108.06,108.66,106.64,-2.36
2015-06-30,107.07,34728680,107.49,107.72,106.74,0.36
2015-07-01,107.92,21266280,108.13,108.3464,107.42,0.79
2015-07-02,107.95,20452590,108.23,108.32,107.62,0.03
2015-07-06,107.7,24229350,107.27,108.32,107.04,-0.23
2015-07-07,107.97,44195840,107.82,108.07,105.83,0.25
2015-07-08,106.09,39630660,107.2,107.33,105.8942,-1.74
2015-07-09,106.03,28213180,107.5,107.5955,106.02,-0.06
2015-07-10,107.65,25870010,107.44,108.05,107.05,1.53
2015-07-13,109.54,25735740,108.58,109.63,108.57,1.76
2015-07-14,110.26,21943600,109.69,110.56,109.63,0.66
2015-07-15,110.38,28578680,110.47,110.81,110.07,0.11
2015-07-16,111.94,29611210,111.29,111.96,111.07,1.41
2015-07-17,113.59,35365800,112.84,113.59,112.65,1.47
2015-07-20,113.98,26512480,113.83,114.39,113.48,0.34
2015-07-21,113.91,35109060,114.02,114.2,113.58,-0.06
2015-07-22,112.62,35532740,112.17,113.169,112.165,-1.13
2015-07-23,112.2,25538680,112.73,113.1,111.91,-0.37
2015-07-24,111.1,30820910,112.8,113.003,110.93,-0.98
2015-07-27,110.18,35945050,110.47,110.946,109.94,-0.83
2015-07-28,111.13,33530920,110.67,111.35,109.785,0.86
2015-07-29,111.55,26662660,111.37,111.79,110.94,0.38
2015-07-30,112.08,25374630,111.29,112.2663,110.621,0.48
2015-07-31,111.95,21709750,112.43,112.49,111.72,-0.12
2015-08-03,111.6,24918540,111.97,112.28,110.861,-0.31
2015-08-04,111.39,22067630,111.55,111.745,110.93,-0.19
2015-08-05,112.25,28947870,112.01,113.0,111.88,0.77
2015-08-06,110.45,42091280,112.35,112.5,109.95,-1.6
2015-08-07,110.31,29983010,110.18,110.57,109.4,-0.13
2015-08-10,111.57,21448440,111.01,111.81,111.0,1.14
2015-08-11,110.14,36080730,110.98,111.4101,109.53,-1.28
2015-08-12,110.52,41859580,109.38,110.735,108.22,0.35
2015-08-13,110.34,22493310,110.63,111.16,110.1,-0.16
2015-08-14,110.51,17877350,110.08,110.67,109.86,0.15
2015-08-17,111.43,21170230,110.24,111.46,109.96,0.83
2015-08-18,110.86,13969500,111.275,111.37,110.71,-0.51
2015-08-19,110.13,42469680,110.52,111.105,109.49,-0.66
2015-08-20,107.08,57547890,109.11,109.46,107.07,-2.77
2015-08-21,102.4,96313420,105.57,106.47,102.4,-4.37
2015-08-24,98.46,147516100,94.23,102.53,84.74,-3.85
2015-08-25,98.09,74084370,102.07,102.74,98.01,-0.38
2015-08-26,103.03,103910500,100.96,103.23,98.93,5.04
2015-08-27,105.64,69234360,104.52,105.71,103.2799,2.53
2015-08-28,105.62,49696610,105.08,106.0,104.85,-0.02
2015-08-31,104.31,39466960,105.03,105.61,104.05,-1.24
2015-09-01,101.05,71909600,101.71,103.29,100.63,-3.13
2015-09-02,103.9,43651540,102.88,103.92,101.7,2.82
2015-09-03,103.39,45094140,104.31,105.02,103.1,-0.49
2015-09-04,102.16,49327020,101.97,102.845,101.59,-1.19
2015-09-08,105.04,37286120,104.12,105.165,103.69,2.82
2015-09-09,103.86,46515680,106.28,106.31,103.59,-1.12
2015-09-10,104.99,47639410,103.74,105.68,103.62,1.09
2015-09-11,105.57,29030990,104.51,105.57,104.21,0.55
2015-09-14,105.25,19703520,105.96,105.98,104.85,-0.3
2015-09-15,106.49,29849160,105.5,106.82,105.11,1.18
2015-09-16,107.09,31303420,106.51,107.19,106.14,0.56
2015-09-17,107.13,56077850,106.98,108.725,106.64,0.04
2015-09-18,105.35,46867000,105.23,106.6,105.17,-1.66
2015-09-21,105.68,35740130,105.93,106.55,104.73,0.31
2015-09-22,104.1,47314070,104.06,104.4225,103.13,-1.5
2015-09-23,104.18,21732470,104.38,104.66,103.64,0.08
2015-09-24,103.8,38085950,103.17,104.19,102.27,-0.36
2015-09-25,102.92,44366520,104.91,105.01,102.28,-0.85
2015-09-28,99.99,43554240,102.48,102.55,99.69,-2.85
2015-09-29,99.47,48777030,100.24,101.26,98.75,-0.52
2015-09-30,101.76,41163010,100.89,101.87,100.5,2.3
2015-10-01,102.22,39269660,101.94,102.23,100.59,0.45
2015-10-02,104.01,59191750,100.8,104.01,100.48,1.75
2015-10-05,105.5,32790070,104.78,105.78,104.55,1.43
2015-10-06,105.0,32995420,105.25,105.6,104.18,-0.47
2015-10-07,105.63,37292740,105.66,105.86,104.29,0.6
2015-10-08,106.05,50132040,105.23,106.23,104.21,0.4
2015-10-09,106.53,23907450,106.1,106.73,105.81,0.45
2015-10-12,106.79,16157310,106.73,106.9899,106.35,0.24
2015-10-13,106.1,26911780,106.18,107.26,106.0,-0.65
2015-10-14,105.93,30800730,106.1,106.63,105.49,-0.16
2015-10-15,107.67,38127130,106.32,107.675,106.18,1.64
2015-10-16,108.12,26628880,107.9,108.18,107.3794,0.42
