Date,Close/Last,Volume,Open,High,Low,Pct_Change
2014-09-22,199.15,125341100,200.35,200.38,198.73,0
2014-09-23,198.01,111103600,198.43,199.26,197.95,-0.57
2014-09-24,199.56,107098000,198.04,199.69,197.52,0.78
2014-09-25,196.34,149990800,199.04,199.05,196.27,-1.61
2014-09-26,197.9,103503900,196.7,198.39,196.42,0.79
2014-09-29,197.54,95061580,196.2,197.89,196.05,-0.18
2014-09-30,197.02,129887300,197.69,198.3,196.61,-0.26
2014-10-01,194.35,177602400,196.7,196.77,193.91,-1.36
2014-10-02,194.38,157161800,194.18,195.055,192.35,0.02
2014-10-03,196.52,120932900,195.68,196.94,195.08,1.1
2014-10-06,196.29,104721100,197.34,197.6,195.582,-0.12
2014-10-07,193.26,147546700,195.28,195.72,193.22,-1.54
2014-10-08,196.64,186038800,193.37,196.92,192.36,1.75
2014-10-09,192.74,209904000,196.33,196.6,192.58,-1.98
2014-10-10,190.54,221531600,192.69,193.65,190.49,-1.14
2014-10-13,187.4099,221938600,190.46,191.15,187.3,-1.64
2014-10-14,187.7,215226000,188.42,189.82,187.04,0.15
2014-10-15,186.43,379972000,185.16,187.694,181.92,-0.68
2014-10-16,186.27,270110200,183.06,187.58,182.89,-0.09
2014-10-17,188.47,214147600,188.42,189.75,187.62,1.18
2014-10-20,190.3,129429000,188.13,190.45,188.07,0.97
2014-10-21,194.07,153368100,191.68,194.2,191.48,1.98
2014-10-22,192.69,151377900,194.41,194.91,192.61,-0.71
2014-10-23,194.93,153664900,194.62,196.2,194.26,1.16
2014-10-24,196.43,116715200,195.25,196.49,194.49,0.77
2014-10-27,196.16,82747540,195.73,196.45,195.03,-0.14
2014-10-28,198.41,105847800,196.82,198.42,196.73,1.15
2014-10-29,198.11,142224000,198.55,199.12,196.8,-0.15
2014-10-30,199.38,112825200,197.58,199.95,197.4,0.64
2014-10-31,201.66,146697400,201.78,201.82,200.77,1.14
2014-11-03,201.77,93478670,201.92,202.45,201.305,0.05
2014-11-04,201.07,93082060,201.23,201.6,200.06,-0.35
2014-11-05,202.34,91466110,202.54,202.59,201.45,0.63
2014-11-06,203.15,106715600,202.39,203.26,201.64,0.4
2014-11-07,203.34,89443040,203.17,203.5999,202.61,0.09
2014-11-10,203.98,65897370,203.38,204.04,203.13,0.31
2014-11-11,204.175,54294510,204.055,204.31,203.65,0.1
2014-11-12,203.96,89957030,203.35,204.24,203.31,-0.11
2014-11-13,204.19,84981760,204.16,204.83,203.21,0.11
2014-11-14,204.24,80310420,204.1,204.49,203.72,0.02
2014-11-17,204.37,80373860,203.85,204.58,203.65,0.06
2014-11-18,205.55,75858730,204.44,205.92,204.44,0.58
2014-11-19,205.22,82226470,205.31,205.55,204.3,-0.16
2014-11-20,205.58,72498660,204.26,205.71,204.18,0.18
2014-11-21,206.68,142105400,207.64,207.8445,205.98,0.54
2014-11-24,207.26,65635340,207.17,207.39,206.91,0.28
2014-11-25,207.11,79013710,207.54,207.79,206.8,-0.07
2014-11-26,207.64,61927210,207.29,207.76,207.03,0.26
2014-11-28,207.2,57890090,207.49,207.87,206.91,-0.21
2014-12-01,205.76,103711100,206.4,206.54,205.38,-0.69
2014-12-02,207.085,74435510,205.81,207.34,205.782,0.64
