,Date,Open,High,Low,Pct_Change,Close/Last,Volume
0,2014-09-22,"3,307.31","3,312.43","3,295.44",-0.26,3296.57,147.37M
1,2014-09-23,"3,293.36","3,306.44","3,291.76",0.05,3298.09,201.29M
2,2014-09-24,"3,291.69","3,298.44","3,286.32",-0.16,3292.81,166.94M
3,2014-09-25,"3,301.69","3,303.16","3,284.20",-0.06,3290.99,116.31M
4,2014-09-26,"3,276.84","3,293.33","3,271.77",0.04,3292.21,145.38M
5,2014-09-29,"3,290.82","3,293.99","3,282.75",-0.08,3289.72,114.65M
6,2014-09-30,"3,272.62","3,276.74","3,256.97",-0.39,3276.74,685.56M
7,2014-10-01,"3,267.96","3,270.24","3,262.50",-0.39,3264.09,166.41M
8,2014-10-02,"3,252.35","3,255.94","3,227.26",-1.08,3228.71,209.61M
9,2014-10-03,"3,226.50","3,256.93","3,222.92",0.76,3253.24,195.61M
10,2014-10-07,"3,260.72","3,261.31","3,237.31",-0.28,3243.99,238.02M
11,2014-10-08,"3,227.62","3,234.71","3,223.82",-0.53,3226.71,157.06M
12,2014-10-09,"3,242.47","3,264.06","3,239.97",1.01,3259.25,216.40M
13,2014-10-10,"3,231.63","3,234.13","3,223.38",-1.09,3223.87,220.30M
14,2014-10-13,"3,213.89","3,217.98","3,194.29",-0.67,3202.15,192.60M
15,2014-10-14,"3,192.39","3,211.66","3,191.05",-0.24,3194.4,213.06M
16,2014-10-15,"3,199.63","3,210.00","3,194.03",0.14,3198.72,192.11M
17,2014-10-16,"3,179.35","3,179.35","3,154.21",-1.39,3154.21,294.54M
18,2014-10-17,"3,154.39","3,171.36","3,149.91",0.43,3167.73,254.57M
19,2014-10-20,"3,184.66","3,192.26","3,180.22",0.42,3181.05,213.83M
20,2014-10-21,"3,182.86","3,202.74","3,180.40",0.68,3202.74,228.77M
21,2014-10-23,"3,222.71","3,238.00","3,221.61",1.05,3236.5,
22,2014-10-24,"3,230.03","3,234.05","3,209.99",-0.43,3222.55,161.82M
23,2014-10-27,"3,231.81","3,234.76","3,215.77",0.11,3226.11,187.92M
24,2014-10-28,"3,221.08","3,221.08","3,206.21",-0.45,3211.65,228.32M
25,2014-10-29,"3,217.74","3,230.10","3,216.96",0.39,3224.03,209.36M
26,2014-10-30,"3,225.60","3,234.31","3,219.62",0.32,3234.31,213.82M
27,2014-10-31,"3,237.35","3,274.25","3,236.40",1.23,3274.25,330.26M
28,2014-11-03,"3,286.57","3,295.77","3,281.30",0.51,3290.84,260.84M
29,2014-11-04,"3,292.10","3,293.61","3,278.42",-0.28,3281.57,204.83M
30,2014-11-05,"3,275.99","3,289.75","3,273.68",0.19,3287.66,141.75M
31,2014-11-06,"3,287.59","3,302.34","3,286.14",0.1,3290.96,232.08M
32,2014-11-07,"3,295.48","3,300.71","3,283.98",-0.14,3286.39,185.10M
33,2014-11-10,"3,306.56","3,312.68","3,301.00",0.44,3301.0,217.44M
34,2014-11-11,"3,306.68","3,309.66","3,287.42",-0.27,3292.15,167.75M
35,2014-11-12,"3,289.32","3,299.23","3,277.55",-0.26,3283.71,230.64M
36,2014-11-13,"3,288.34","3,313.89","3,285.08",0.65,3304.93,379.23M
37,2014-11-14,"3,313.31","3,317.19","3,305.23",0.32,3315.67,264.95M
